Month,Payment Date,Principal,Interest,Balance
1,2024-06-08,7.995147676992078,0.75,92.00485232300792
2,2024-07-08,8.055111284569518,0.6900363924225594,83.9497410384384
3,2024-08-07,8.11552461920379,0.629623057788288,75.83421641923462
4,2024-09-06,8.176391053847818,0.5687566231442597,67.6578253653868
5,2024-10-06,8.237713986751677,0.507433690240401,59.42011137863512
6,2024-11-05,8.299496841652314,0.4456508353397634,51.120614536982806
7,2024-12-05,8.361743067964706,0.38340460902737106,42.7588714690181
8,2025-01-04,8.424456140974442,0.3206915360176358,34.33441532804366
9,2025-02-03,8.48763956203175,0.25750811496032744,25.84677576601191
10,2025-03-05,8.551296858746989,0.19385081824508932,17.295478907264922
11,2025-04-04,8.61543158518759,0.1297160918044869,8.680047322077332
12,2025-05-04,8.680047322076497,0.06510035491557999,8.348877145181177e-13
